written by TR 
1.000000000 
116.989155000 0.000000000 0.000000000 
0.000000000 202.631161000 0.000000000 
0.000000000 0.000000000 18.400000000 
Type1 
18152
Cartesian 
0.86719400 8.58057000 7.41441000 
0.13746800 7.36522000 7.41031000 
0.82439600 6.12486000 7.40615000 
0.09350140 4.91015000 7.40188000 
0.77934800 3.66926000 7.39833000 
0.04740560 2.45511000 7.39518000 
0.73250700 1.21386000 7.39347000 
0.00000151 0.00000138 7.39259000 
2.28468000 8.55379000 7.41511000 
2.97149000 7.31326000 7.41199000 
2.24186000 6.09777000 7.40726000 
2.92772000 4.85681000 7.40441000 
2.19681000 3.64202000 7.39980000 
2.88196000 2.40076000 7.39834000 
2.14998000 1.18656000 7.39517000 
5.11730000 8.50318000 7.41831000 
4.38888000 7.28693000 7.41404000 
5.07481000 6.04594000 7.41210000 
4.34512000 4.83038000 7.40727000 
5.03041000 3.58914000 7.40619000 
4.29939000 2.37431000 7.40187000 
4.98449000 1.13308000 7.40253000 
6.53464000 8.47779000 7.42061000 
7.22078000 7.23686000 7.41950000 
6.49216000 6.02060000 7.41527000 
7.17773000 4.77948000 7.41456000 
6.44779000 3.56394000 7.41027000 
7.13311000 2.32281000 7.41073000 
6.40194000 1.10796000 7.40724000 
9.36599000 8.42928000 7.42581000 
8.63812000 7.21255000 7.42230000 
9.32412000 5.97164000 7.42177000 
8.59509000 4.75550000 7.41813000 
9.28080000 3.51457000 7.41832000 
8.55053000 2.29910000 7.41506000 
9.23634000 1.05835000 7.41642000 
10.78330000 8.40574000 7.42807000 
11.46990000 7.16512000 7.42739000 
10.74150000 5.94861000 7.42433000 
11.42770000 4.70794000 7.42410000 
10.69820000 3.49200000 7.42147000 
11.38440000 2.25143000 7.42218000 
10.65380000 1.03604000 7.42018000 
13.61540000 8.35939000 7.43193000 
12.88730000 7.14269000 7.42893000 
13.57420000 5.90235000 7.42804000 
12.84510000 4.68613000 7.42585000 
13.53180000 3.44580000 7.42587000 
12.80180000 2.23005000 7.42450000 
13.48850000 0.98985700 7.42564000 
15.03290000 8.33736000 7.43275000 
15.72040000 7.09738000 7.43096000 
14.99160000 5.88099000 7.42862000 
15.67890000 4.64096000 7.42782000 
14.94920000 3.42498000 7.42679000 
15.63630000 2.18497000 7.42737000 
14.90600000 0.96933300 7.42732000 
17.86630000 8.29296000 7.43412000 
17.13790000 7.07640000 7.43090000 
17.82570000 5.83667000 7.42920000 
17.09630000 4.62055000 7.42778000 
17.78380000 3.38075000 7.42776000 
17.05380000 2.16494000 7.42797000 
17.74110000 0.92513200 7.42967000 
19.28380000 8.27258000 7.43408000 
19.24320000 5.81678000 7.42893000 
19.20130000 3.36124000 7.42784000 
19.15860000 0.90582900 7.43063000 
19.97220000 7.03314000 7.43155000 
19.93110000 4.57722000 7.42823000 
19.88890000 2.12158000 7.42929000 
22.11800000 8.23087000 7.43611000 
21.38970000 7.01409000 7.43182000 
22.07800000 5.77475000 7.43047000 
21.34860000 4.55849000 7.42858000 
22.03650000 3.31901000 7.42957000 
21.30640000 2.10307000 7.43016000 
21.99400000 0.86348200 7.43338000 
23.53550000 8.21307000 7.43739000 
24.22420000 6.97393000 7.43566000 
23.49540000 5.75718000 7.43180000 
24.18360000 4.51789000 7.43221000 
23.45400000 3.30162000 7.43108000 
24.14170000 2.06218000 7.43391000 
23.41150000 0.84617600 7.43528000 
26.36930000 8.17533000 7.44390000 
25.64160000 6.95788000 7.43825000 
26.33010000 5.71878000 7.43815000 
25.60110000 4.50199000 7.43486000 
26.28910000 3.26273000 7.43697000 
25.55920000 2.04637000 7.43653000 
26.24700000 0.80702400 7.44066000 
27.78670000 8.16102000 7.44756000 
28.47560000 6.92213000 7.44720000 
27.74750000 5.70462000 7.44198000 
28.43580000 4.46557000 7.44326000 
27.70660000 3.24869000 7.44059000 
28.39450000 2.00952000 7.44375000 
27.66450000 0.79303200 7.44384000 
30.61990000 8.12816000 7.45826000 
29.89290000 6.90983000 7.45183000 
30.58160000 5.67101000 7.45238000 
29.85320000 4.45344000 7.44775000 
30.54150000 3.21450000 7.44969000 
29.81200000 1.99751000 7.44763000 
30.50010000 0.75855400 7.45087000 
32.03720000 8.11768000 7.46312000 
32.72640000 6.87914000 7.46319000 
31.99900000 5.66079000 7.45726000 
32.68770000 4.42211000 7.45805000 
31.95890000 3.20448000 7.45405000 
32.64730000 1.96576000 7.45585000 
31.91760000 0.74863000 7.45425000 
34.86990000 8.08983000 7.47435000 
34.14370000 6.87068000 7.46791000 
34.83280000 5.63230000 7.46777000 
34.10500000 4.41396000 7.46245000 
34.79380000 3.17550000 7.46283000 
34.06470000 1.95781000 7.45943000 
34.75340000 0.71940000 7.46047000 
36.28720000 8.08292000 7.47845000 
36.97700000 6.84487000 7.47769000 
36.25020000 5.62580000 7.47174000 
36.93940000 4.38765000 7.47095000 
36.21120000 3.16933000 7.46626000 
36.90020000 1.93116000 7.46588000 
36.17090000 0.71339700 7.46299000 
38.39420000 6.83976000 7.48088000 
38.35680000 4.38298000 7.47386000 
38.31760000 1.92678000 7.46821000 
39.12000000 8.05953000 7.48684000 
39.08410000 5.60194000 7.47925000 
